Test, Benchmark, Without_Opt_1, Without_Opt_2, Current
1, 8.12419, 8.7894, 28.2189, 5.37454
2, 8.02356, 8.80919, 28.2497, 5.43868
3, 7.99186, 8.72244, 28.1509, 5.17184
4, 7.97231, 8.72339, 28.0976, 5.15565
5, 7.99204, 8.71358, 27.9478, 5.24586
6, 7.89186, 8.69044, 28.0243, 5.13341
7, 7.97244, 8.72862, 28.0269, 5.22238
8, 8.14516, 8.75246, 28.1879, 5.45013
9, 7.91519, 8.67745, 27.7571, 5.1348
10, 7.90614, 8.90208, 27.9035, 5.20592
11, 9.72864, 10.6015, 36.0649, 6.46554
12, 9.87024, 10.9274, 36.917, 6.63033
13, 10.2229, 10.9827, 37.3798, 6.67971
14, 9.80637, 10.8504, 36.6715, 6.53392
15, 9.91722, 10.821, 36.6951, 6.69977
16, 9.79837, 10.84, 36.3319, 6.74939
17, 9.84011, 10.7178, 36.3444, 6.85628
18, 9.94069, 10.9494, 37.1398, 6.78598
19, 9.70356, 10.6535, 36.1255, 6.66534
20, 9.69087, 10.7111, 36.1104, 6.69323
21, 1.54535, 1.73894, 4.67685, 1.05582
22, 1.54935, 1.74249, 4.66958, 1.05961
23, 1.89895, 2.12622, 6.10961, 1.31807
24, 1.88166, 2.21549, 6.04776, 1.36776
25, 1.96136, 2.23495, 6.16287, 1.29304
26, 11.6233, 12.8304, 45.7415, 7.80184
27, 11.6046, 12.5195, 45.682, 7.72002
28, 14.3201, 15.5189, 60.0158, 9.61998
29, 14.3031, 15.5289, 59.8736, 9.59452
30, 14.3108, 15.5309, 60.3396, 9.55592
