Test, Benchmark, Without_Opt_1, Without_Opt_2, Current
1, 2.45169, 2.83107, 3.51342, 1.71138
2, 2.4322, 2.75838, 3.56449, 1.66921
3, 2.41745, 2.74259, 3.55896, 1.64396
4, 2.41542, 2.75937, 3.51154, 1.6464
5, 2.4697, 2.76399, 3.48188, 1.64854
6, 2.47697, 2.74734, 3.49697, 1.65411
7, 2.47845, 2.76639, 3.53066, 1.63737
8, 2.40645, 2.76734, 3.53887, 1.66146
9, 2.49551, 2.70482, 4.60242, 1.65557
10, 2.41402, 2.74308, 3.71954, 1.6504
11, 2.9575, 3.47005, 4.41164, 1.99279
12, 2.94853, 3.31369, 4.52756, 2.09575
13, 2.94171, 3.35709, 4.7196, 2.06628
14, 3.01294, 3.33354, 4.43286, 2.02061
15, 2.92519, 3.52915, 4.47476, 2.0339
16, 3.18958, 3.36885, 4.39129, 2.05277
17, 3.09024, 3.3482, 4.44095, 2.02503
18, 3.16895, 3.38281, 4.48706, 2.06292
19, 2.94984, 3.3735, 4.43356, 2.03238
20, 2.98856, 3.30762, 4.34632, 2.02789
21, 0.65262, 0.761274, 0.857004, 0.544741
22, 0.793596, 0.756487, 0.803334, 0.528035
23, 0.746783, 0.839857, 1.23371, 0.614446
24, 0.803458, 0.833136, 1.17273, 0.597858
25, 0.809958, 0.83933, 1.12514, 0.601568
26, 3.25525, 3.71079, 5.78554, 2.23367
27, 3.28149, 3.77712, 5.73206, 2.23399
28, 3.90838, 4.48106, 7.59286, 2.76319
29, 3.91615, 4.49347, 7.68014, 2.77951
30, 4.0918, 4.50689, 7.84497, 2.76767
